Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),S3 for static web data,S3 Standard,0,0.54,6.48,USD,S3 Standard storage (200 GB per month)
My Estimate,US East (N. Virginia),S3 for static web data,Data Transfer,0,0,0,USD,"DT Inbound: Internet (200 GB per month), DT Outbound: Amazon CloudFront (600 GB per month)"
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,10668,512.496304,16817.96,USD,"Operating system (Red Hat Enterprise Linux), Storage amount (100 GB), DT Inbound: Internet (124 GB per month), DT Outbound: Internet (495 GB per month), DT Intra-Region: (0 TB per month), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 3, Peak: 6, Duration of peak: 8 Hr 30 Min)), Advance EC2 instance (a1.4xlarge), Pricing strategy (undefined 1 Year  Full upfront), Snapshot Frequency (No snapshot storage), Storage amount per io2 volume (100 GB)"
My Estimate,US East (N. Virginia),App Server,Amazon EC2,51006,1457.580818,68496.97,USD,"Operating system (Red Hat Enterprise Linux), Storage amount (200 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 GB per month), DT Intra-Region: (0 GB per month), Workload (Weekly, Baseline: 6, Peak: 9, Duration of peak: 3 Day 0 Hr 0 Min), Advance EC2 instance (c6gd.8xlarge), Pricing strategy (undefined 1 Year  Full upfront), Snapshot Frequency (No snapshot storage), Storage amount per io2 volume (200 GB)"
My Estimate,US East (N. Virginia),App database,Amazon RDS for MySQL,38187,845,48327,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (1000 GB), Quantity (3), Instance type (db.m6g.4xlarge), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr All Upfront), Additional backup storage (1000 GB)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,113.13,1357.56,USD,Number of NAT Gateways (3)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,56.21,674.52,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Elastic IPs for web servers,Amazon Elastic IP,0,0,0,USD,"Number of EC2 instances (6), Number of EIPs per instance (1)"
My Estimate,US East (N. Virginia),,Amazon EKS,0,146,1752,USD,Number of EKS Clusters (2)
My Estimate,US East (N. Virginia),,AWS Web Application Firewall (WAF),0,194.42,2333.04,USD,"Number of Web Access Control Lists (Web ACLs) utilized (30 per month), Number of Rules added per Web ACL (5 per month)"
My Estimate,US East (Ohio),App database - read replica in different region,Amazon RDS for MySQL,6364,220,9004,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (1000 GB), Quantity (1), Instance type (db.m6g.4xlarge), Deployment option (Single-AZ), Pricing strategy (Reserved 1yr All Upfront), Additional backup storage (1000 GB)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,83.74,1004.88,USD,Hosted Zones (1)
Total results,,,,106225,3629.117122,149774.41,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
Comparision of reduced_cost_estimate and increased_cost_estimate:,,,,,,,,
Cost estimate,Total upfront,Monthly,Overally per month,Total per years,,,,
Reduced cost estimate,"53,844","1,715.02","6,202.02","74,424.26",,,,
Increased cost estimate,106225,3629.117,"12,481.20",149774.4,,,,
